date,exchange_rate
2010-04-04,0
2010-04-07,0
2010-04-10,0
2010-04-13,0
2010-04-16,0
2010-04-19,0
2010-04-22,0
2010-04-25,0
2010-04-28,0
2010-05-01,0
2010-05-04,0
2010-05-07,0
2010-05-10,0
2010-05-13,0
2010-05-16,0
2010-05-19,0
2010-05-22,0
2010-05-25,0
2010-05-28,0
2010-05-31,0
2010-06-03,0
2010-06-06,0
2010-06-09,0
2010-06-12,0
2010-06-15,0
2010-06-18,0
2010-06-21,0
2010-06-24,0
2010-06-27,0
2010-06-30,0
2010-07-03,0
2010-07-06,0
2010-08-20,0.07
2010-08-23,0.07
2010-08-26,0.07
2010-08-29,0.06
2010-09-01,0.06
2010-09-04,0.06
2010-09-07,0.06
2010-09-10,0.06
2010-09-13,0.06
2010-09-16,0.15
2010-09-19,0.06
2010-09-22,0.06
2020-02-29,0.06
2010-09-28,0.06
2010-10-01,0.06
2010-10-04,0.06
2010-10-07,0.06
2010-10-10,0.12
2010-10-13,0.1
2010-10-16,0.12
2010-10-19,0.1
2010-10-22,0.11
2010-10-25,0.18
2021-04-24,51153.13
2021-04-27,54056.64
2021-04-30,53584.15
2021-05-03,56610.46
2021-05-06,57473.23
